observation_1,observation_2,hypothesis_1,hypothesis_2,label
Jim's son Joe is a great guitar player.,He is proud of how good his son is at playing guitar.,Joe has not real friends.,Jim's son Joe played at a local coffee shop.,2
Gretchen was feeling very sad as she walked to work one day.,Gretchen felt happy because the prize cheered her up.,She won a gift card for best performance.,She was hit and killed.,1
Jackson was hungry for a milkshake.,Jackson drank the delicious chocolate milkshake.,Jackson blended a milkshake for his cousin.,"Jackson put ice cream, syrup and milk in the blender.",2
"It was the end of the semester, and Jake needed to study for finals.",Jake spent that night studying so he was ready for his test.,Jake turned down his friend's party invitation.,Jake was excited for his tests.,1
Timmy wanted to learn how to play video games.,Unfortunately his older brother doesn't appreciate losing.,Timmy lost to his older brother when they played.,He read a number of online how to manuals and learned how to beat his brother.,2
Sadie had just gotten off from work.,"Nervous, she ran the rest of the way.",There was thunder and lighting up ahead.,"Walking home, Sadie noticed no one was following her.",1
A man bought himself a rooster.,It turns out they crow whenever they happen to feel like it.,The rooster did not crow ever.,The man built a house for the rooster in the backyard.,2
Mikey was desperately looking for work.,He was so lucky to get some work.,He decided to send his daughter to many places.,He finally landed a job after several months.,2
Tara was camping by herself in the woods.,She was able to successfully tap the hole shut.,Tara tried to glue the hole.,Tara tried to tap the hole.,2
Sameer was running late to work.,The $200 ticket he got was a reminder to never jaywalk again.,He ran across the road not at a light.,Sameer drove across the street in a hurry.,1
Lucy and her grandma were leaving Blockbuster.,He refused because once a day is enough.,"Lucy's brother didn't want to see another ""chick flick"" with her and their grandma.",Later that day Lucy asked her grandpa to take her back to school.,1
Bill put his dog in the fence and went out for the night.,Then he saw the lawn was filled with half-eaten mushrooms.,Bill went out to get his dog.,He came back to an hindered fence gate.,1
Two best friends from Boston write a movie together.,Their movies sell billions of dollars of tickets over the next 20 years,Eventually they get someone to make the movie.,They work a little to get their movies in the theaters.,1
Jack went to the pet store after school.,Jack was so sad he cried himself to sleep.,Jack pet one of the dogs and got bit.,Jack found out one of the pets he liked had babies.,1
My roommate slams doors when he leaves a room.,He agreed to at the end of the month.,The landlord requested that Steve move out.,I asked my roommate to make lots of jarring noises.,1
I took my girlfriend out to the restaurant.,My girlfriend didn't have any money and I ended up paying for it.,She forget her purse at home.,We ate and had to eat.,1
The elementary school was have a father-daughter dance.,It was the perfect first dance.,Ellie asked her dad to the concert and her dad agreed. She stood on his feet as he moved to the music.,So many fathers and daughters attended the dance.,2
Lina has two kids.,Lina gave the clothes to charity.,Her kids had a ton of clothes.,Lina's children ripped all of their clothes.,1
Ynez decided on a whim to learn how to dance to a foxtrot.,Ynez learned the dance from the internet instead.,Ynez took a car in town but did not like having to go to it.,Ynez was going to learn from an instructor.,2
Ben decided to treat himself to a coffee.,Ben was happy after getting the call from the bank.,Ben was waiting to hear back about a coffee.,Ben was waiting to hear back about a job.,2
John was driving to work one day.,"Unfortunately, he ended up being late to work.",There was an accident but cleared on the route that John was driving.,John decides to take a short cut through the city to save time.,2
The Stone family was on a bus headed towards the Great Pyramid.,"Upon arriving at the pyramids, the Stone family thanked the driver.",The Stones car broke down and they had to call a taxi.,The Stone family got there late.,1
I wanted to take a guy on a date.,I'm really looking forward to it.,I asked my neighbor out.,"The guy I like said yes, he voted.",1
Sandy lived in New York.,Sandy decided to go outside and make a snowman.,It snowed in New York.,It rained in New York.,1
The sun was shining brightly and it was very warm.,"Startled and out of breath, Sue ran into her house.",Something was lurking in the little grass across the field.,Unexpectedly a bear came from the woods.,2
Becky was suspicious that someone was eating her cookies.,Becky was surprised to find herself sleepwalking to them.,Becky put her cookies under the camera to catch someone.,Becky put her cookies under the mattress to catch someone.,1
Jim found a stray cat walking on the street.,"Now, Jim's cat lives in Jim's house and it is his pet.",Jim decided to look for the owner and he found the owner.,Jim took it home and gave it a bath.,2
Mr Qu was a famous statesman from China.,He ended up being voted Man of the Year.,Mr. Qu gave back to the community.,Mr. Qu was know throughout the company for his greed.,1
Liz was babysitting a 5 year old boy.,"When she heard him giggling from a closet, Liz was relieved.",Liz was playing hide and seek and found the boy.,The boy ran from Liz crying and hid.,2
A group of friends went to a restaurant.,The meals were worth the wait because it was the best quality.,They sat there for an hour.,the food was really made fast.,1
I had pancakes for breakfast today.,"So long blueberries, we had a good time.",I had them without the fruit topping and they were surprisingly delicious.,I used the abundance of our blueberries we have with them.,1
James realizes he hasn't left his home in days.,James is still happy that he has at least left the house.,James ran out of groceries but didn't go to the store.,James left and had nowhere to go.,2
Marsha had just moved in with her husband.,Marsha was elated!,Marsha bought her husband flowers when she got home.,Marsha discovered that an old friend lived in the neighborhood as she introduced herself to the neighbors.,2
The little boy brought his bike home.,His mother felt terrible when she saw the helmet strap was broken.,his mother ran over his helmet in the driveway.,He had to walk because he got a flat tire.,1
Kate was at Summer camp.,She screeched and climbed out of the water.,She went for a swim.,Kate saw a big fish in the lake.,2
David's dad bought a new television.,The television can not be returned.,It was broken when Dad dropped it.,The television stopped working after the return date.,2
Fred applied for a new job.,He just gave up on the job because he didn't know where to look.,He hadn't heard anything from any employers.,The interviewer couldn't find the interview location.,1
Dave had entered a raffle at work this past weekend.,"The winners were announced, and Dave had won the top prize!","Dave told his co-workers that if he won, he would buy them all lunch for a week.","Steve told his co-workers that if he won, he would buy them all lunch for a week.",1
Bill was an attractive man.,He felt and looked much better after shaving.,Bill was out to make an impression on a new boss.,"Bill grew a beard, but felt less attractive with it.",2
Emily was looking for something in her brother's room.,Emily got in big trouble with her mom.,Emily's brother told on her.,"Emily went through her brother's drawer, but left before her mom could catch her.",1
The Levins owned a small corner store.,They made more than enough money to take a cab whenever they wanted!,The Levins had many bugs.,Levin was very successful at running the store.,2
Ana didn't like dogs and never had.,She and her husband went out to buy a dog as soon as they could!,Ana decided to never change her mind.,One day when Anna was about to be attacked by a mugger dog came out of nowhere and attacked him 1st.,2
Last night I had to be home in time for the new episode I had to watch,I couldn't wait for the new one the following week.,It was very exciting and there was a cliff hanger.,I really hated this week's episode.,1
Ed was visiting California.,"But gradually, he got a little better at surfing.","At first, Ed could not buy a surfboard.",Ed tried surfing for the first time and loved it so much he kept trying.,2
Millie enjoyed playing peek-a-boo.,Millie's excitement about her new friend lasted until nap time.,Millie was playing peek-a-boo with a friend.,Millie invited her dog over to play.,1
Tyler's kids were getting too much screen time.,Everyone seemed much happier.,Tyler decided to entertain his kids another way - with a movie party.,Someone complained to the teacher.,2
Steve had a lot of parking tickets.,"Steve, dejected, resolved to be more careful in the future.",He refused to pay them all.,There was a boot put on his car.,2
Tim was painting.,Until he decided to paint a pretty picture on his shirt.,He decided he wanted to make it more personal and the teacher was ok with it.,Tim hated the new colors of paint his mother had bought him.,1
Ezekiel was herding his sheep one fall evening.,Ezekiel jumped from the hide and stabbed the wolf in the neck.,Ezeikiel noticed there wasn't a wolf trying to attack his sheep.,A wolf appeared near the sheep.,2
My friend introduced me to a close friend of his.,"When I decided to ask, she barely had anything to say.",I thought this person was one who stole from me before.,She turned out to be very chatty.,1
The Goetschius family moved to the Outer Banks.,They ended up really enjoying their new home.,The Goetschius family enjoys peace.,They planned to build a house next year.,1
Amy decided to cook quinoa for her dinner.,Amy realized she needed to learn how to season food.,The pie ended up tasting plain.,Amy food tasted plain.,2
Franklin wanted to send a birthday card to his grandmother.,Franklin dropped the envelope into the mailbox.,Franklin prepared the note and envelope.,Franklin addressed the package and sent it yesterday.,1
Noah had a cold.,"After two days, Noah felt better.",Noah ate cold cuts and got a lot of rest.,Noah took his prescribed medicine and stayed home.,2
Kayla went for a manicure.,She left with a beautiful nails and complete satisfaction.,The doctor was very diligent and didn't overlook any detail.,Kayla tried a new nail shop.,2
Joe went to college for art.,Then he got hired.,He graduated with a degree and decided to apply for a job as an art teacher.,"He didn't graduate, but decided to apply for a job as an art teacher.",1
Roan and his family ate a lot of fruits and veggies.,Roan was glad he had come up with such a 'green' idea!,Roan thought they should invest in a kitchen garden and grow some fruits and veggies.,Roan thought they should invest in a kitchen garden and grow some flowers.,1
Ed was starving when his dad handed him his ham sandwich.,His dad shared his sandwich with him.,Ed's dad was hungry.,Ed asked his dad her some of the sandwich.,2
Jay went to pick up his mail.,Jay looked at it and pick it up with great effort.,"He opened the door, finding one postcard.",Jay dropped his mail on the ground and it went all over.,2
Georgia was checking her email.,"Finally, she had a clean empty inbox.",Georgia hasn't kept any of her emails in a year.,Georgia deleted the messages as she read them.,2
Sam and his wife were busy packing for their trip.,Sam and his wife had a great time together.,Sam and his wife had a great time packing for their trip.,Sam and his wife went on a cruise.,2
Loudoun decided it was time to purchase a new microphone.,Loudoun felt great joy as he listened to himself through his new mic.,Loudoun bought a good grilled cheese.,Loudoun went to the store and picked up a great new mic and brought it home.,2
One day a salesman came by my office.,It sold for $20.,The salesman was selling a vacuum cleaner.,The salesman showed me a new car for his company.,1
Larry was running late for work.,He had gotten the wrong one in his hurry.,He picked out a tie as he was running out of the door.,He make sure he get the correct tie as he was running out of the door.,1
Rachel won a free skydiving trip.,Her instructor teased Rachel as she floated far down.,Rachel was not afraid to do it.,She took a test dive in an air tunnel.,2
Grandma always enjoyed knitting.,Grandma put the knitting kit to good use.,Grandma got us a kit for Christmas.,Grandma saw I had a hole in my jeans.,2
Daria wanted a new sweater.,She found a beautiful sweater and ordered it right away.,She used the internet to find the perfect sweater.,She went all around town to find a sweater.,1
Toby was the Sullivan family's very first dog.,Toby lived until he was 16 years old.,The Sullivan's treated Toby like a family member.,The Sullivan's treated Toby like a family member for 2 years.,1
My work as a janitor keeps me busy throughout the day.,"Lastly, I clean floors with a vacuum cleaner.","I have a full schedule to follow: emptying trash, cleaning restrooms, dusting, refilling containers.",I mop all of the floors first.,1
Sally went to the pet store the other day.,Sally now has a goldfish named Puppy.,Sally looked at the fish tanks and wanted one.,Sally wanted a pet that required lots of care.,1
Last night my girlfriend and I got into a fight.,She hasn't answered my calls all day today her profile says single.,She stormed out of my dump and I didn't talk to her all night.,She stormed out of my house and I didn't talk to her all night.,2
I did not know Doug's wife's name so I asked him.,Finally I looked at Dougs wife death certificate and learned her name.,Doug allowed me to look through some paperwork.,Doug told me her wife is dead.,1
Ben liked to play around with animals.,The dog bit Ben because he was being rough with him.,Ben found a new dog.,Ben started stroking a dog a little too gently.,1
Petey liked to cook.,Petey's wife was thrilled.,Petey uneducated new dishes.,Petey cooked dinner that night instead of his wife.,2
Nay wanted a pet but she was allergic to cats.,She got four fish and loved watching them every day!,Nay researched what pets would be good for people allergic to cats.,Nay decided to get something other than a fish.,1
Chloe got tickets for an upcoming hockey game.,Chloe's team won and she took home an extra souvenir!,Chloe went to the game and cheered on her team.,Chloe went to the hockey game and caught a puck.,2
Lois was often bullied at his elementary school.,Now Lois is learning well and much happier.,Lois got help from an adult to solve the problem when his grades started dropping.,The bullies finally stood up to Lois.,1
Lucy ordered some pizza.,Lucy had to heat it up.,When it got to Lucy it was cold.,When the pizza arrived it was hot.,1
Gina drove past the dry ski slope near her home.,Just then she saw a large machine spraying fake snow on the slope.,Gina wanted to go skiing as soon as she could.,How Gina wished it would rain so she could get wet.,1
Jason had always admired the fast movements of boxers he saw on TV.,His wrestling matches were very exciting.,He used some of the footwork to use in his wrestling.,He used some of the work to rest his foot.,1
Tom decided to go skiing in a snowstorm.,He had a cup of hot chocolate with his friends at the lodge.,tom got stranded but got rescued by his friends.,It was bad but it was too cold for Tom so they stayed.,1
Jill and Lisa had been best friends for years.,Lisa was so upset.,She was really rude to her.,Lisa was really rude to Jill.,1
Amy was at the grocery store shopping for the week.,Amy had to chase lemons half way across the parking lot.,She spilled one of her grocery bags at checkout before paying.,Amy's bag broke in half.,2
Mary was signed up for a secret santa.,She had it sent to her match.,Mary went to the store for a makeup kit.,Mary was evil and put rattlesnakes in her gift-box.,2
Bill wouldn't stop playing violent video games around his son.,Bill reluctantly stopped playing the games.,One day his boy bashed his friend over the head with a rock.,Bill saw his son reenact a violent sex scene.,1
Trish was happy to have both of her daughter's home at once.,Trish went to bed very happy that night.,Trish had seen one of her daughters recently since she was off to college.,Trish had not seen one of her daughters in a long time since she was off to college.,2
We gathered for the office Christmas party.,The night was a great time and everyone was happy.,Everybody exchanged birthday presents.,We worked hard to prepare for the party.,2
Billy's family just moved to a new city.,They became great friends.,Bill instantly made friends with the neighbor that lived three houses down.,Billy met his neighbor Jimmy on his last day.,1
Larry was playing basketball.,The river carried his basketball all the way down the stream.,He dropped the basketball and it rolled down the hill.,"It began to snow heavily, and soon the park was covered.",1
Anna was babysitting her young cousins.,Anna kept them amused all day!,Anna brought a bag filled with arts and crafts.,Anna made funny faces at the dogs.,1
I was talking to my neighbor this morning.,The cat had been following me and got inside my house.,I didn't notice the deceased cat outside while I was talking.,I left my neighbors gate open.,2
Joann was making lemon cupcakes.,They came out with an awkward texture.,Joan added too much baking soda.,Joann forgot to add baking soda.,2
Every Wednesday Mark was at the baseball fields.,Mark never ate a hotdog again.,"Mark loved hotdogs, but he was losing too much weight.",Mark got food poisoning from a hotdog at the ballpark.,2
My trumpet teacher was amazing.,All of his examples were really funny!,He gave very serious instructions for everything he taught.,He gave explicit instructions for everything he taught.,2
My son told me about making a little extra money in my spare time.,Now I turk almost every day and am making a lot of extra money.,My son said it was called Mechanical Turk and it's run by Amazon so I know it's legitimate.,He hooked me down with a turk job.,1
I forgot to set my alarm last night.,Luckily I'm a good worker and got one more chance.,I was early for work this morning.,I ended up being late to work.,2
Pat really hated Ben.,Now Ben will never wear gloves again.,Pat started wearing gloves as winter set in.,Ben slapped Pat with a glove.,1
I put the black plastic rose in a vase with water.,"Honestly, I didn't really know why either.",I was thinking about other things and didn't realize I didn't do it yet.,My friend asked me why I put a plastic rose in the vase.,2
Ron and his friends were hanging out late at night.,Ron said he didn't want to and his friends made fun of him.,Ron decided to go home so he could rest before work the next day.,Ron's friends dared Ron to stay inside.,1
Jim wanted a new kitchen sink.,Then he took some time to admire his new sink!,Jim went to the night club.,Jim hired a plumber to install a farmhouse sink.,2
My husband Jim died of cancer last year on Valentine's Day.,Her loving father left a final love letter in their favorite book.,Jim wanted to leave his wife a lasting memento.,My daughter moved out of her room.,1
Garth woke up and pounded the alarm clock into silence.,"He called 911, but there wasn't anything they could do.",Garth felt something cold next to him.,Garth broke his phone and didn't know the time.,1
"Mark wrote horror stories for a living, and he took great pride in it.",Mark woke up to the sound of his alarm clock in tears.,He fell asleep by accident before he finished his story in time.,Mark's stories gave him nightmares.,1
I stopped taking my prescribed pills because they made sick.,I told the doctor his pills made me sick so i stopped taking them.,I went to the doctor to discuss my pills.,I missed my appointment with my doctor.,1
Tim was struggling in math.,"Ultimately, he ended up failing the test and had to repeat the course.","Instead of asking for help, Tim went to a football game with his friends the night before the final exam.",Tim studied every night.,1
The girls went to a bar.,They went home talking about their night.,The girls enjoyed the bar.,They had a great time dancing until the morning.,1
Jo went up to the rooftop to work on her tan.,The landlord heard her pounding and found Jo shivering on the roof.,She stayed out all day and when night came she went inside.,Jo accidentally got locked on top of the roof and started knocking on the door for help.,2
Bob is surprised when his truck breaks down on the highway.,The officer even gives Bob a ride to a car rental company.,he thoought they would find it odd he was in middle of road.,A police officer stops in the park to help Bob.,1
I've always wanted to be able to bike thirty miles at one time.,I am so out of shape I can't even bike a mile.,I have not been riding or working out though.,I have been riding and working out every day.,1
Jacob woke up at a red light.,Now Jacob only wakes up in his bed.,he fell asleep in the car.,Jacob vowed to never drive drunk again.,1
Bella was very pale.,"When she left, her skin was a summery golden brown!",she decided to take a much needed vacation in florida.,Bella decided to save the morning at the nail salon.,1
Cathy was happy that she finally had some time to sew.,Cathy tapped her metal fingertips on the table in frustration.,Cathy put the thimbles on.,Cathy could not get the thread into the fabric.,1
My grandmother made key lime pie.,I went to the bathroom to spit it out.,I hated the pie.,I devoured the pie.,1
Ned needed cigarettes - he was almost out.,He bought himself two whole cartons of cigarettes.,Ned decided it was time to quit smoking and did so cold turkey.,Ned saw a great deal at the wholesale club.,2
My friends were taking me rock climbing.,"The next day, I went to the real rock wall and climbed it very well.",They wanted to start with a real rock wall for practice first.,We went to the gym to practice on a fake wall.,2
I went to the beach last summer to try to get a tan.,I woke up with massive sunburn all over my body.,I fell asleep and didn't put more sunscreen on.,I fell asleep in the shade.,1
Kelly couldn't wait to go to Sephora for the first time to buy makeup.,"By the time she left the store, Kelly had about 12 different bags full",The saleslady knew Kelly was going to be an easy sale.,She couldn't believe how few choices she had.,1
Television is a scary thing.,I made a sandwich to satisfy my craving.,One advertisement made me crave a sandwich.,I watched a show about scary things found around the world.,1
One day Adam bought two BB guns.,Adam was very proud of Christian.,Christian shot at Adam with the gun.,Adam gave one to Christian.,2
We attended a Halloween,The host was scandalized.,The host boyfriend proposed to her in front of everyone.,The host had too much to drink and flirted with someone who was not his wife.,2
Everyone in my family got together for Thanksgiving.,We had a great time.,People drove in from all over the state.,Everyone was angry and didn't eat.,1
Joe loved his beard.,He decided to shave it and he got a job instantly.,Joe was having a hard time picking a job.,Joe couldn't get hired because his beard looked unprofessional.,2
Ben decided to treat himself to a coffee.,Ben was frustrated at the extra charge.,Ben was charged extra for a cup.,The worker charged him double.,2
Joe had recently graduated from college.,He had to get a part-time job delivering pizzas to support himself.,Joe  have  money.,The job market was bad.,2
Al loved sad music.,As soon as he saw the tear he asked her to be his wife.,Al saw a woman at the grocery store crying when a sad song came on over the PA system.,Al's girlfriend cried during a sad song.,2
Lois hated math.,She was wrong and quit within a month.,Lois challenged herself by enrolling in a math class.,Lois thought tutoring would kill her.,1
I was walking home.,The rain made me feel even more depressed.,It was a sunny day.,I was depressed because my girlfriend broke up with me. halfway through my walk it started to rain.,2
Alex needed groceries.,Alex bought a yacht.,She saw an advertisement for a car at the store.,She decided to go to a store and look at boats on her way grocery shopping.,2
I wanted a pet for my birthday.,I drove home with the mini pig in my car.,My father gave me a bat instead.,I went to buy exotic pet with my father.,2
The teacher told Diana that she's failing the class.,She ended up with a 33 on the exam.,Diana decided to study with her friends instead of go out.,Diana decided she didn't care and didn't study for the exam.,2
There were two powerful families.,The Lance's ended up winning the war and took over.,"The Funkel's won every battle, year after year.",the families had a fight.,2
Young Myron was used to being the center of his parents' lives.,Myron realized there were good parts to being a big brother too.,Myron was not happy his parents were having a baby.,"One day, Myron's parents said a new couch was on the way.",1
Amy awoke to see the sun was shining bright in the fall.,Amy loved that beautiful fall day that felt like summer.,Amy spent her day outside in the nice weather.,Amy stayed in the house all day long.,1
Terry was going through a big issue.,He never would budge.,Terry and his wife wanted the same paint for their house.,Terry stood strong on his views.,2
Quinton was getting evicted from his apartment.,Quinton felt depressed.,"Quinton packed up his bags, and started looking for a new place.",Quinton could not find another apartment to move into.,2
Adam hired a maid to clean his house.,The agency dismissed the thief at once.,The maid stole his silverware from the house.,That day Adam's house was robbed by the neighbor.,1
Dave's parents have a restaurant.,They decided to close the business.,They are getting more customers.,Dave's restaurant was no longer doing well.,2
Robbie struggled to hold his pencil correctly.,"Robbie, his teacher, and his mother were all thrilled when it worked!",Robbie finally got it right.,They did not know how to help him hold the pencil easier.,1
Jed was making a stew.,Jed regretted he hadn't just had a bowl of cereal.,He ate some cereal in the meantime.,Jed burned the stew.,2
Annie accidentally slept in.,"Since she didn't have time, her hair ended up looking too messy.",Annie had to jump up and rush to class before she was late.,She took her time brush her hair that night.,1
Nik was dating Jess.,So Nick decided to propose to her.,Nik loved his girlfriend very much.,Nick and Jess had a horrible relationship.,1
Jordan was wandering through the desert on his camel.,"Jordan realized he was lost, and drank his last drops of water.",jordan didn't pack survival gear very well.,"Jordan was getting hungry, but couldnt find water.",1
Cora always wanted to take a cruise.,Three weeks later Cora was finally enjoying the ocean breeze!,Cora planned the cruise in the later years.,during vacation holiday cora travel on a boat.,2
James went to the bistro to meet some friends.,They finally left and everyone was relieved at James' bravery.,James fought off a pack of dogs.,James never got in a fight.,1
Derek has an interview for a job.,He doesn't get the job.,Derek did not prepare or dress nice.,Derek's interview went very well.,1
Sam was swimming at the pool.,Sam stayed out since he was already wet.,Sam got into the pool.,Sam got out and dried himself.,2
My friends and I were playing outside.,We put the gear away and went our separate ways.,We got into a fight.,Suddenly it started shining heavily.,1
Sandy's mom packed her a ham sandwich for lunch again.,The were both happy with the trade.,Molly didn't like her tuna so she traded with Sandy.,Sandy's favorite sandwich was ham.,1
"I bought a backup drive for my wife's iPhone, using Amazon.",I thanked Amazon for their great customer service.,the iphone came fast.,Amazon asked me immediately to buy another item.,1
Deena was walking home one cold day.,The dog seemed sick so she took it home and kept it.,Deena saw a little dog outside.,Deena saw a little turtle outside.,1
Tom and his wife Diane had just had their first child.,"He woke his wife to tell her, she then broke the news to him.",Diane had the baby stay with their grandparents one night and didn't tell Tom.,They both decided together they wanted a divorce.,1
Kellen needed to find a better job.,He is forever grateful to his friend for getting him the job.,His friend Charlie had an opening at the bar.,Kellen's friend got him a lower paying sales job.,1
Tom was listening to music in class.,So Tom didn't know they weren't going to pick him up from school.,"Tom's cell phone rang, an he answered the call.",Tom didn't hear the message his teacher gave him.,2
Neil was a music lover.,Neil thought Vienna was the most musical city on earth!,"When Neil saved his money, he went to Austria.",Neil traveled to Vienna because of its great art.,1
Ed was making whiskey at home.,"Sampling it, Ed decided his whiskey was great!",Whiskey was Ed's favorite drink.,Ed was nervous about how it would come out.,2
Susan noticed that her feet were really swollen.,After a few days she noticed that the swelling in her feet had gone do,Susan was six months pregnant.,She talked to her doctor and gave them some advice.,1
Beth had been getting a lot of sore throats.,She enjoyed the relaxation and ice cream in the meantime.,She ended up having surgery to remove her leg.,Beth eventually had her tonsils out.,2
Charlie was driving to his friend's house in his new car.,He declined and followed street laws like a responsible car owner.,Another driver challenged him to drag race.,Charlies friend wanted him to slow down and get there later.,1
Cornelia had always loved working with her hands.,Cornelia chopped the table up for firewood.,Cornelia needed firewood for her fireplace.,Cornelia needed firewood but had run out.,1
A man made a wishing well next to his mailbox.,He paid for the entire meal in change.,The change filled up with wishing wells.,Every person who walked by tossed in a coin.,2
"Sam was excited, the day was finally here.",Sam decided that a wedding pie would have to suffice.,Sam almost dropped the wedding cake.,Sam got news that his wedding cake got ruined.,2
Joe ordered a dining room set off of the internet for his wife.,Joe had ordered doll furniture by mistake!,Joe did not read the website correctly.,When Joe unpacked the furniture he realized it was too fancy.,1
Jacob was driving home from work.,He felt really good knowing his help was so appreciated.,He stopped to help someone deflating a flat tire.,Jacob stopped to help someone fix a tire.,2
Ann was my date to our elementary school graduation party.,Suddenly she leaped across the car seat and planted a kiss on my lips!,She is not my favorite since childhood.,I drove Ann home from the party.,2
Robbie just joined a new band.,They record a record together.,They ruin a lot of songs.,Robbie has a bandmate.,2
Tom wanted to take Shelly on a date.,They both just sat and watched the sunset together.,Tom and Shelly went up to the beach.,Tom took her to a hilltop picnic.,2
Dave loved the outdoors.,Dave took pictures of the tall trees.,The weather was beautiful.,The weather was raining hard.,1
Cindy came down sick.,Cindy started taking it that night,Her mother bought her some cough medicine.,Her mother bought her some candy.,1
Jeremy had a huge test at school.,"Suddenly, his teacher woke him up and made him finish the test.",Jeremy fell asleep at his desk at home while studying.,Jeremy was so tired he fell asleep during the test!.,2
Tara wanted to repaint her room.,She went home and painted her room pink by herself.,Tara wanted a more comfortable room.,Tara bought the blue paint that she saw at the store.,1
"Allie didn't own many purses, but was attached to the few she had.","She missed her old purse, but began to love the new one just as much.",Her mom gave her a new one for her birthday and she sold it.,Unfortunately she lost one of hers and bought a new one.,2
A man called me late in the afternoon on my house phone.,A few seconds later he called back.,I picked up the phone but the man didn't speak english.,He breathed hard into the phone and spoke a vulgar word.,2
Tom was drunk at a party.,It made him finally admit to being drunk.,Tom is honest when he is drunk.,Tom ended up going to a cafe.,1
Beth was riding her bike at the park near her house.,The mother and her babies looked up then continued on their way.,Beth saw a mother yelling at her babies in a stroller.,Beth saw a mother duck and her babies.,2
Tony liked art.,Tony was hired immediately and succeeded.,Tony's artwork was considered a masterpiece by the museum.,Tony was turned down for a position at a gallery.,1
I made a warm scarf for my mom.,"Now I make scarves for everyone else, too.",Mom didn't like it.,Everyone admired my moms scarf.,2
Ava wanted to go to the zoo.,They had a great day at the zoo!,Ava saw all of the animals.,Ava's parents had never been to the zoo.,1
Ryan climbed the long set of stairs to get to the water slide.,It was even more fun than he expected.,Ryan was scared to go down the water slide.,Ryan loved going down the water slide.,1
Bob was out hunting for deer.,Bob was rescued and was more careful from then on.,Stu wasn't paying attention and fell into a ravine breaking his leg.,Bob fell into a pit and was stuck there for hours.,2
I never met my real mom.,Or if I should continue my mission until she really is a ghost.,I have looked for her.,"I found my mother, and wondered if I should give her up.",1
Ivan had one cat.,Both cats were very happy!,Ivan’s cat ran away.,Ivan adopted a second cat.,2
A home was robbed in the neighborhood.,Charles had posted a picture on Instagram of him with his brother.,Charles was the police.,Charles was home when it happened and went to the scene.,2
Jim decided to be a rockstar.,Jim signed up for guitar lessons.,but didn't know how to play an instrument.,Jim knew he would need to have a nickname.,1
Steve wanted to start a new business.,Steve got paid $500 for the two snakes he caught.,Steve was unafraid of snakes people found in homes.,He caught some snakes to buy.,1
We lived in a condo from 1987 to 2013.,My daughter was better the next day.,One day my daughter got a bad grade and had to stay home from school.,My daughter always suffered from tiredness and allergies.,2
Bob discovered his truck had a flat tire.,Bob drove his truck to the market.,Bob had no spare tire.,He changed the flat himself.,2
"Al was the scrawniest guy in his gym class, and was always teased.",In September his classmates didn't recognize him.,Al joined a gym over the summer.,Over the summer Al got into an accident.,1
Anthony wanted to learn how to speak Spanish.,Anthony became successful because of his linguistic abilities.,Anthony took a spanish class and excelled.,Anthony instead learned Klingon.,1
Chang was finishing up lunch when all of a sudden he heard a noise.,The volcano stopped being active before the lava could damage the city,Chang looked out his window to see what was happening.,Chang looked outside and saw the volcano was still.,1
Alice wanted to learn how to kick a corner kick for her team.,Alice kicked the corner in the game that led to the winning header.,Alice asked her coach to kiss her.,Alice practiced the corner kick for hours every day.,2
Anna was sewing a dress.,She had to take a break to bandage her wound.,Anna poked her needle with the finger.,Anna got stuck with a needle.,2
Jay went to put his pants to get ready for work.,Jay tossed aside the belt and said that he'd buy a new one.,Jay realized his belt buckle was broken.,Jay carefully fastened his belt.,1
"As the friends boarded flight to Australia, they felt strange.",They were being followed and neither recognized it.,They both were aware that they were being followed.,The two friends sat in the plan.,2
Anna was at an Easter party.,Anna won the Easter Egg Hunt!,Anna tried her best to find all the eggs.,Anna ran around but didn't find any eggs.,1
Ian was playing an online game.,But he didn't feel any better.,Ian took off from school for being sick and played all day.,One of Mike's friends was defending him from some players who were talking trash.,1
Anna was going on a river cruise.,She had a wonderful time on her cruise.,Anna went on her cruise fully prepared for any activity.,Anna went with her former best friend.,1
Bee was digging in his backyard.,"He did, however, find three dimes and a bottle cap!",He did not find any relics for his history class.,"Bee found a treasure he was looking for,.",1
I was trying to eat lunch at home yesterday when a fly flew in.,Eventually I killed it with a newspaper.,It buzzed around then flew out the window.,it was landing everywhere.,2
Jackson was at the lake with his family.,He reeled the fish in and proudly showed it off.,So his family decided they would take the boat out and go fishing.,Jackson was swimming in the lake.,1
Alice was getting married in a few weeks.,Alice called her mother and apologized profusely.,Alice skipped the wedding.,Alice forgot to invite her mother to the weeks.,1
Herb loved meditation.,Herb had relapsed and fell ill.,Herb was stressed and decided he needed to meditate.,Herb wanted to drink.,2
Nancy caught Chris copying the answers for tomorrow's exam.,Nancy couldn't hold the secret and confessed it to everyone.,Nancy didn't tell anyone about what Chris did.,Chris pleaded with Nancy not to tell anyone.,2
Gina was in the middle of the backseat surrounded by siblings.,Gina continued to stare.,Gina could see a strange dog in the car next to them.,"Gina could not see anything out of the car,.",1
Caroline decided to take a surfing class at the beach.,Now she likes to build sandcastles when she goes to the beach.,She fell and flopped and almost drowned.,Caroline then made a surfboard.,1
